id,Lon,Lat,SettlementName,ShortName,MunicipalDistrict,Adm_1,Adm_2,Year,Population
3,70.449011,56.286438,село Абатское,с. Абатское,Абатский район,1,1,1981,7300
662,70.146746,55.930524,поселок Майский,п. Майский,Абатский район,1,0,1981,1206
626,70.416285,56.05311,поселок Ленинка,п. Ленинка,Абатский район,1,0,1981,1098
921,70.698931,56.483209,село Ощепково,с. Ощепково,Абатский район,1,0,1981,1026
188,70.625036,56.422107,село Быструха,с. Быструха,Абатский район,1,0,1981,919
533,70.715226,56.288221,село Конево,с. Конево,Абатский район,1,0,1981,918
1365,70.463626,56.183759,село Шевырино,с. Шевырино,Абатский район,1,0,1981,829
932,70.848015,56.04307,поселок Партизан,п. Партизан,Абатский район,1,0,1981,773
121,70.13363,56.320193,село Болдырево,с. Болдырево,Абатский район,1,0,1981,672
1256,70.137924,56.212114,село Тушнолобово,с. Тушнолобово,Абатский район,1,0,1981,662
63,70.277316,56.115645,село Банниково,с. Банниково,Абатский район,1,0,1981,637
777,70.787173,56.567643,село Назарово,с. Назарово,Абатский район,0,0,1981,469
548,70.044859,56.270716,деревня Костылева,д. Костылева,Абатский район,0,0,1981,335
618,70.587127,56.257598,деревня Лапина,д. Лапина,Абатский район,0,0,1981,318
1315,70.5371,56.506339,деревня Челнокова,д. Челнокова,Абатский район,0,0,1981,309
458,70.662468,56.133432,деревня Камышинка,д. Камышинка,Абатский район,0,0,1981,308
640,70.204534,56.207874,деревня Логинова,д. Логинова,Абатский район,0,0,1981,297
1166,70.111783,56.084611,село Старая Маслянка,с. Старая Маслянка,Абатский район,0,0,1981,291
244,70.551185,56.02687,поселок Восток,п. Восток,Абатский район,0,0,1981,282
103,70.869368,56.368983,деревня Бития,д. Бития,Абатский район,0,0,1981,266
1057,70.270417,56.32491,деревня Речкунова,д. Речкунова,Абатский район,0,0,1981,252
1373,70.326049,56.325809,деревня Шипунова,д. Шипунова,Абатский район,0,0,1981,248
1341,70.676886,56.246876,деревня Чумашкина,д. Чумашкина,Абатский район,0,0,1981,246
982,70.654851,56.517445,деревня Погорелка,д. Погорелка,Абатский район,0,0,1981,240
1201,70.210256,56.121882,село Сычево,с. Сычево,Абатский район,0,0,1981,235
460,70.716331,56.10545,деревня Камышинская,д. Камышинская,Абатский район,0,0,1981,230
